App,Field,Slug,Formula
Customers,Customer Domain,s0abfb72d9,"LOWER( REPLACE( TRIM( MID( [s000da1c94], FIND(""@"", [s000da1c94]) + 1, LENGTH([s000da1c94]) ) ), ""[0-9]+$"", """" ) )"
Customers,RecID,s9070593d5,TEXT(RECORD_ID())
CAM,NY DFS Cybersecurity Score,s639976c8b,[s4d8c82a21]/[s0cd1eb638]*100
CAM,NY DFS Score Color,sde44d47a6,"IF( [s639976c8b] >= 90, ""green"", IF( [s639976c8b] >= 80, ""blue"", IF( [s639976c8b] >= 70, ""amber"", IF( [s639976c8b] >= 60, ""orange"", ""red"" ) ) ) )"
CAM,NYDFS Security Posture Grade,s8f2540171,"IF( [s639976c8b] >= 97, ""A+"", IF( [s639976c8b] >= 93, ""A"", IF( [s639976c8b] >= 90, ""A-"", IF( [s639976c8b] >= 87, ""B+"", IF( [s639976c8b] >= 83, ""B"", IF( [s639976c8b] >= 80, ""B-"", IF( [s639976c8b] >= 77, ""C+"", IF( [s639976c8b] >= 73, ""C"", IF( [s639976c8b] >= 70, ""C-"", IF( [s639976c8b] >= 67, ""D+"", IF( [s639976c8b] >= 63, ""D"", IF( [s639976c8b] >= 60, ""D-"", ""F"" ) ) ) ) ) ) ) ) ) ) ) )"
CAM,Non-Compliant Controls (Count),sf0e2ab1bc,[sb0572b0f0] - [s2fc2eb37f]
CRB,Count Helper,s4339e5e35,1
CRB,Customer,s113dd7a92,[title]
RecoveryPlans,Count Helper,s3b3477ec0,1
RecoveryPlans,Plan Submitted,s7cbc80aea,"IF(OR(COUNT([s7c52f99da])>0, COUNT([s43fe2dec9])>0), 1, 0)"
RiskAssessments,Evidence Status Fraction,s6cee3911c,"IF( [sb4a4b9b71] = ""Accepted"", 1, IF( [sb4a4b9b71] = ""Needs Minor Remediation"", 0.75, IF( [sb4a4b9b71] = ""Partially Implemented"", 0.5, 0 ) ) )"
RiskAssessments,Is Compliant,sf887b29b1,"IF( AND( [s7b0e1bee3] = 1, [sb4a4b9b71] = ""Accepted"" ), 1, 0 )"
RiskAssessments,Is in Scope,s7b0e1bee3,"IF( [scb215244e] = ""Applicable"", 1, 0 )"
RiskAssessments,Needs Remediation,sfbd95f612,"IF( [s7b0e1bee3], IF( [sb4a4b9b71], IF( [sb4a4b9b71] = ""Accepted"", 0, 1 ), 0 ), 0 )"
RiskAssessments,Risk Addressed (Weighted),s57dfa9ae1,[s32ad5229a] * [s6cee3911c]
RiskAssessments,Scoped Inherent Risk,s32ad5229a,"IF( [s7b0e1bee3] = 1, [s45d89188b], 0 )"
TrainingVideos,Count Helper,s7a1a11b80,1
